gene_id,SRR18885340,SRR18885341,SRR18885342,SRR18885343,SRR18885344,SRR18885345,SRR18885346,SRR18885347,SRR18885348,SRR18885349,SRR18885350,SRR18885351
ENSG00000223972.6|DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243485.5|MIR1302-2HG,0,4,3,0,0,0,0,0,5,1,1,0
ENSG00000284332.1|MIR1302-2,0,0,0,0,1,0,1,0,1,0,0,0
ENSG00000237613.2|FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3|OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1|ENSG00000290826,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3|OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7|OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6|ENSG00000238009,11,19,28,24,27,27,17,26,26,26,22,23
ENSG00000222623.1|RNU6-1100P,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1|ENSG00000241599,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2|ENSG00000236601,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1|ENSG00000290385,107,109,108,86,97,130,87,129,103,114,93,68
ENSG00000269732.1|WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2|OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1|U6,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000235146.2|ENSG00000235146,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10|ENSG00000230021,3,0,1,1,1,2,1,2,1,3,1,2
ENSG00000278791.1|ENSG00000278791,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268663.1|WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.2|OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223181.1|RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228327.6|ENSG00000228327,0,0,1,1,1,1,1,2,0,1,2,1
ENSG00000237491.10|LINC01409,33,35,27,16,43,43,13,75,25,39,35,24
ENSG00000230092.8|ENSG00000230092,0,0,0,0,0,0,0,0,6,0,0,0
ENSG00000228794.12|LINC01128,792,1058,1023,894,862,901,733,1004,762,987,821,731
ENSG00000290825.1|DDX11L2,4,19,4,2,4,3,7,5,4,0,9,0
ENSG00000227232.5|WASH7P,589,765,722,564,784,570,553,751,599,545,675,515
ENSG00000278267.1|MIR6859-1,13,7,11,18,16,9,9,11,7,10,5,12
ENSG00000239945.1|ENSG00000239945,7,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3|CICP27,9,5,3,10,10,3,5,5,6,10,5,3
ENSG00000268903.1|ENSG00000268903,19,14,20,14,16,12,17,15,13,13,13,16
ENSG00000269981.1|ENSG00000269981,5,5,4,3,3,12,7,4,19,8,5,4
ENSG00000239906.1|ENSG00000239906,1,1,3,0,2,3,1,2,1,2,3,3
ENSG00000241860.7|ENSG00000241860,54,64,70,60,71,67,65,52,87,45,57,60
